STATION,DATE,MAX
72530094846,2012-11-15,48.0
72530094846,2012-11-16,54.0
72530094846,2012-11-17,55.0
72530094846,2012-11-18,57.0
72530094846,2012-11-19,59.0
72530094846,2012-11-20,59.0
72530094846,2012-11-21,57.9
72530094846,2012-11-22,63.0
72530094846,2012-11-23,63.0
72530094846,2012-11-24,42.1
72530094846,2012-11-25,43.0
72530094846,2012-11-26,43.0
72530094846,2012-11-27,36.0
72530094846,2012-11-28,44.1
72530094846,2012-11-29,51.1
72530094846,2012-11-30,51.1
72530094846,2012-12-01,57.2
72530094846,2012-12-02,63.0
72530094846,2012-12-03,70.0
72530094846,2012-12-04,70.0
72530094846,2012-12-05,60.1
72530094846,2012-12-06,45.0
72530094846,2012-12-07,46.4
72530094846,2012-12-08,46.0
72530094846,2012-12-09,42.1
72530094846,2012-12-10,41.0
72530094846,2012-12-11,37.9
72530094846,2012-12-12,46.0
72530094846,2012-12-13,48.9
72530094846,2012-12-14,50.0
72530094846,2012-12-15,50.0
72530094846,2012-12-16,50.0
72530094846,2012-12-17,48.9
72530094846,2012-12-18,39.9
72530094846,2012-12-19,41.0
72530094846,2012-12-20,48.9
72530094846,2012-12-21,48.9
72530094846,2012-12-22,33.1
72530094846,2012-12-23,34.0
72530094846,2012-12-24,34.0
72530094846,2012-12-25,34.0
72530094846,2012-12-26,33.1
72530094846,2012-12-27,33.1
72530094846,2012-12-28,33.1
72530094846,2012-12-29,32.0
72530094846,2012-12-30,33.1
72530094846,2012-12-31,35.1
72530094846,2013-01-01,35.1
72530094846,2013-01-02,30.0
72530094846,2013-01-03,30.0
72530094846,2013-01-04,36.0
72530094846,2013-01-05,39.0
72530094846,2013-01-06,39.0
72530094846,2013-01-07,41.0
72530094846,2013-01-08,44.1
72530094846,2013-01-09,50.0
72530094846,2013-01-10,50.0
72530094846,2013-01-11,52.0
72530094846,2013-01-12,53.1
72530094846,2013-01-13,34.0
72530094846,2013-01-14,30.0
72530094846,2013-01-15,30.9
